folio,line,type,word,pre_text,after_text
014v,N013,#snorm,hack-s-,hack,
014v,N018,#snorm,dunne-s-,dunne,
014v,N018,#snorm,al-s-,al,
014v,N020,#snorm,e-s-,e,
014v,N020,#snorm,e-s-,e,
015r,N003,#snorm,al-s-,al,
015r,N004,#snorm,al-s-,al,
015r,N007,#snorm,e-s-,e,
015r,N007,#snorm,|s|ieden-s-,|s|ieden,
015r,N008,#snorm,da-s-,da,
015r,N008,#snorm,e-s-,e,
015r,N009,#snorm,e-s-,e,
015r,N009,#snorm,al-s-,al,
015r,N009,#snorm,da-s-,da,
015r,N009,#snorm,e-s-,e,
015r,N010,#snorm,-S-o,,o
015r,N010,#snorm,e-s-,e,
015r,N011,#snorm,e-s-,e,
015r,N011,#snorm,al-s-,al,
015r,N012,#snorm,e-s-,e,
015r,N012,#snorm,-S-malcz,,malcz
015r,N013,#snorm,e-s-,e,
015r,N013,#snorm,da-s-,da,
015r,N013,#snorm,e-s-,e,
015r,N014,#snorm,e-s-,e,
015r,N014,#snorm,ein-s-,ein,
015r,N016,#snorm,e-s-,e,
015r,N017,#snorm,-S-o,,o
015r,N017,#snorm,e-s-,e,
015r,N017,#snorm,al-s-,al,
015r,N018,#snorm,e-s-,e,
015r,N019,#snorm,e-s-,e,
015r,N020,#snorm,e-s-,e,
015r,N020,#snorm,ander-s-,ander,
015r,N020,#snorm,e-s-,e,
015r,N021,#snorm,e-s-,e,
015r,N021,#snorm,ander-s-,ander,
015r,N022,#snorm,e-s-,e,
015r,N023,#snorm,wenig-s-,wenig,
015r,N023,#snorm,wel-s-,wel,
015v,N004,#snorm,-S-o,,o
015v,N005,#snorm,al-s-,al,
015v,N007,#snorm,-S-meller,,meller
015v,N010,#snorm,da-s-,da,
015v,N012,#snorm,da-s-,da,
015v,N012,#snorm,al-s-,al,
015v,N012,#snorm,da-s-,da,
015v,N014,#snorm,ain-s-,ain,
015v,N015,#snorm,da-s-,da,
015v,N015,#snorm,e-s-,e,
015v,N016,#snorm,e-s-,e,
015v,N017,#snorm,da-s-,da,
