,folio,line,type,word,pre_text,after_text,position
126,152r,N018,#snorm,Al-s-,Al,,final
127,152r,N018,#snorm,dw-s-,dw,,final
128,152r,N020,#snorm,pach-s-,pach,,final
129,152v,N002,#snorm,da-s-,da,,final
130,152v,N002,#snorm,wey-s-,wey,,final
131,152v,N002,#snorm,da-s-,da,,final
132,152v,N004,#snorm,da-s-,da,,final
133,152v,N007,#snorm,da-s-,da,,final
134,152v,N009,#snorm,-S-o,,o,initial
135,152v,N009,#snorm,e-s-,e,,final
136,152v,N010,#snorm,e-s-,e,,final
