folio,line,type,word,pre_text,after_text
195r,N013,#snorm,alle-s-,alle,
195r,N015,#snorm,geu-s-,geu,
195r,N016,#snorm,e-s-,e,
195r,N016,#snorm,da-s-,da,
195r,N018,#snorm,e-s-,e,
195r,N023,#snorm,da-s-,da,
195r,N024,#snorm,e-s-,e,
195r,N026,#snorm,Da-s-,Da,
195v,N001,#snorm,ander-s-,ander,
195v,N001,#snorm,ding-s-,ding,
195v,N005,#snorm,la|s|-s-,la|s|,
195v,N005,#snorm,au-s-,au,
195v,N006,#snorm,-S-aluej,,aluej
195v,N007,#snorm,-S-alcz,,alcz
195v,N016,#snorm,da-s-,da,
195v,N020,#snorm,lach-s-,lach,
195v,N023,#snorm,aney-s-,aney,
195v,N024,#snorm,e-s-,e,
195v,N025,#snorm,da-s-,da,
196r,N002,#snorm,da-s-,da,
196r,N002,#snorm,-S-o,,o
196r,N004,#snorm,e-s-,e,
196r,N004,#snorm,aine-s-,aine,
196r,N004,#snorm,flei|s|chtag-s-,flei|s|chtag,
196r,N004,#snorm,-S-o,,o
196r,N009,#snorm,e-s-,e,
196r,N009,#snorm,e-s-,e,
196r,N010,#snorm,-S-tockfi|s|ch,,tockfi|s|ch
196r,N013,#snorm,herau-s-,herau,
196r,N013,#snorm,da-s-,da,
196r,N015,#snorm,da-s-,da,
196r,N016,#snorm,da-s-,da,
196r,N016,#snorm,lau-s-,lau,
196r,N020,#snorm,e-s-,e,
196r,N020,#snorm,e-s-,e,
196r,N022,#snorm,bi-s-,bi,
196r,N023,#snorm,da-s-,da,
196r,N023,#snorm,e-s-,e,
196r,N026,#snorm,-S-neit,,neit
196v,N005,#snorm,kumel-s-,kumel,
196v,N006,#snorm,da-s-,da,
196v,N007,#snorm,da-s-,da,
196v,N007,#snorm,e-s-,e,
196v,N007,#snorm,geu-s-,geu,
196v,N008,#snorm,e-s-,e,
196v,N008,#snorm,da-s-,da,
196v,N009,#snorm,e-s-,e,
196v,N009,#snorm,e-s-,e,
196v,N009,#snorm,-S-o,,o
196v,N010,#snorm,e-s-,e,
196v,N010,#snorm,e-s-,e,
196v,N011,#snorm,muo-s-,muo,
196v,N012,#snorm,de-s-,de,
196v,N012,#snorm,huone-s-,huone,
196v,N012,#snorm,e-s-,e,
