,folio,line,type,word,pre_text,after_text,position
129,194v,N016,#snorm,gepachen-s-,gepachen,,final
130,194v,N019,#snorm,da-s-,da,,final
131,194v,N019,#snorm,da-s-,da,,final
132,194v,N019,#snorm,e-s-,e,,final
133,194v,N020,#snorm,ain-s-,ain,,final
134,194v,N020,#snorm,vinger-s-,vinger,,final
135,194v,N020,#snorm,da-s-,da,,final
136,194v,N021,#snorm,e-s-,e,,final
137,194v,N022,#snorm,bi-s-,bi,,final
138,194v,N022,#snorm,da-s-,da,,final
139,194v,N022,#snorm,e-s-,e,,final
140,194v,N022,#snorm,e-s-,e,,final
141,194v,N023,#snorm,mu-s-,mu,,final
142,194v,N024,#snorm,-S-nitten,,nitten,initial
143,195r,N001,#snorm,da-s-,da,,final
144,195r,N003,#snorm,e-s-,e,,final
145,195r,N004,#snorm,-S-o,,o,initial
146,195r,N005,#snorm,honig-s-,honig,,final
147,195r,N005,#snorm,al-s-,al,,final
148,195r,N005,#snorm,al-s-,al,,final
149,195r,N006,#snorm,e-s-,e,,final
150,195r,N006,#snorm,bi-s-,bi,,final
151,195r,N006,#snorm,da-s-,da,,final
152,195r,N006,#snorm,e-s-,e,,final
153,195r,N006,#snorm,e-s-,e,,final
154,195r,N010,#snorm,-S-chueppe,,chueppe,initial
155,195r,N013,#snorm,e-s-,e,,final
156,195r,N013,#snorm,alle-s-,alle,,final
157,195r,N015,#snorm,geu-s-,geu,,final
158,195r,N016,#snorm,e-s-,e,,final
159,195r,N016,#snorm,da-s-,da,,final
160,195r,N018,#snorm,e-s-,e,,final
161,195r,N023,#snorm,da-s-,da,,final
162,195r,N024,#snorm,e-s-,e,,final
163,195r,N026,#snorm,Da-s-,Da,,final
164,195v,N001,#snorm,ander-s-,ander,,final
165,195v,N001,#snorm,ding-s-,ding,,final
166,195v,N005,#snorm,la|s|-s-,la|s|,,final
167,195v,N005,#snorm,au-s-,au,,final
168,195v,N006,#snorm,-S-aluej,,aluej,initial
169,195v,N007,#snorm,-S-alcz,,alcz,initial
170,195v,N016,#snorm,da-s-,da,,final
171,195v,N020,#snorm,lach-s-,lach,,final
172,195v,N023,#snorm,aney-s-,aney,,final
173,195v,N024,#snorm,e-s-,e,,final
174,195v,N025,#snorm,da-s-,da,,final
175,196r,N002,#snorm,da-s-,da,,final
176,196r,N002,#snorm,-S-o,,o,initial
177,196r,N004,#snorm,e-s-,e,,final
178,196r,N004,#snorm,aine-s-,aine,,final
179,196r,N004,#snorm,flei|s|chtag-s-,flei|s|chtag,,final
180,196r,N004,#snorm,-S-o,,o,initial
181,196r,N009,#snorm,e-s-,e,,final
182,196r,N009,#snorm,e-s-,e,,final
183,196r,N010,#snorm,-S-tockfi|s|ch,,tockfi|s|ch,initial
